"lineage","color"
"NY99","#E7298A"
"WN02","#D95F02"
"SW03","#7570B3"
"SW03_NS4A","#A09CDE"
"SW03_NS5","#A09CDE"
"NY10","#1B9E77"
"NY10_NS2A","#57C49C"
"NY10_NS4B","#57C49C"
"NY10_NS4B-SW03_NS4A","#7CB0BD"
"NY10_NS2A-SW03_NS4A","#7CB0BD"
"NY10-SW03_NS4A","#509DA0"
"NY10_NS4B-SW03_NS5","#7CB0BD"
"NY10_NS2A-SW03_NS5","#7CB0BD"
"NY10-SW03_NS5","#509DA0"
"SW03-NY10_NS4B","#6992AA"
"SW03-NY10_NS2A","#6992AA"
"NY10-SW03","#488795"
"unknown","#BBBBBB"
"ambiguous","#888888"
