"lineage","n"
"NY10",448
"NY10-SW03_NS4A",5
"NY10-SW03_NS5",600
"NY10_NS2A",109
"NY10_NS2A-SW03_NS4A",1
"NY10_NS2A-SW03_NS5",64
"NY10_NS4B",282
"NY10_NS4B-SW03_NS4A",14
"NY10_NS4B-SW03_NS5",46
"NY99",128
"SW03",328
"SW03-NY10_NS2A",19
"SW03-NY10_NS4B",11
"SW03_NS4A",107
"SW03_NS5",76
"WN02",1255
"ambiguous",3
"unknown",1
